method_key,method,beta,target,avg_time,avg_reward,avg_logprob,avg_edit_distance,avg_normalized_edit_distance
unguided,Unguided,5,In-Distribution,1.3555348580121063,0.4951913435911261,-753.1123931884765,90.1,0.351953125
best_of_k,Best-of-K,5,In-Distribution,11.32120955119608,0.5297635296920695,-647.1579284667969,81.35,0.3177734375
bootstrap_smc,Bootstrap SMC,5,In-Distribution,4.2467087476397865,0.50768913179636,-713.3967407226562,86.85,0.3392578125
exact_guidance_u,Exact Guidance,5,In-Distribution,199.03959223711863,0.4902027088544746,-759.0793426513671,91.35,0.3568359375
unguided,Unguided,25,In-Distribution,1.0813673208584078,0.49688402675880033,-748.508935546875,89.65,0.3501953125
best_of_k,Best-of-K,25,In-Distribution,11.03951072145719,0.5257905710159501,-658.3447509765625,82.3,0.321484375
bootstrap_smc,Bootstrap SMC,25,In-Distribution,4.271328027592972,0.519858917593956,-618.7489929199219,83.8,0.32734375
exact_guidance_u,Exact Guidance,25,In-Distribution,207.79975618986646,0.5060814485631615,-757.6031677246094,87.3,0.341015625
unguided,Unguided,5,Linear,1.1604258234379814,0.39316904056498175,-738.9794250488281,119.5,0.466796875
best_of_k,Best-of-K,5,Linear,11.931536586582661,0.40090453048514885,-713.1196075439453,117.0,0.45703125
bootstrap_smc,Bootstrap SMC,5,Linear,4.633665842795745,0.3925897553563118,-739.7283020019531,119.7,0.467578125
exact_guidance_u,Exact Guidance,5,Linear,244.48615042357704,0.3920962801678604,-768.5564880371094,119.85,0.4681640625
unguided,Unguided,25,Linear,1.2954407896031626,0.39407960075550746,-745.0844055175781,119.2,0.465625
best_of_k,Best-of-K,25,Linear,11.502545573445968,0.40184167487937933,-694.3986053466797,116.7,0.455859375
bootstrap_smc,Bootstrap SMC,25,Linear,4.462679104821291,0.3954762741923332,-740.466064453125,118.75,0.4638671875
exact_guidance_u,Exact Guidance,25,Linear,257.03569397847167,0.39224508845180805,-804.5761444091797,119.8,0.46796875
