target,beta,method_key,step,sample_idx,seq_len_full,seq_len_semantic,tokens_full_json,tokens_semantic_json
In-Distribution,10,exact_guidance_u,0,0,1,0,[129],[]
In-Distribution,10,exact_guidance_u,1,0,1,0,[129],[]
In-Distribution,10,exact_guidance_u,2,0,2,1,"[129, 63]",[63]
In-Distribution,10,exact_guidance_u,3,0,3,2,"[129, 51, 63]","[51, 63]"
In-Distribution,10,exact_guidance_u,4,0,3,2,"[129, 51, 63]","[51, 63]"
In-Distribution,10,exact_guidance_u,5,0,3,2,"[129, 51, 63]","[51, 63]"
In-Distribution,10,exact_guidance_u,6,0,3,2,"[129, 51, 63]","[51, 63]"
In-Distribution,10,exact_guidance_u,7,0,3,2,"[129, 51, 63]","[51, 63]"
In-Distribution,10,exact_guidance_u,8,0,3,2,"[129, 51, 63]","[51, 63]"
In-Distribution,10,exact_guidance_u,9,0,3,2,"[129, 51, 63]","[51, 63]"
In-Distribution,10,exact_guidance_u,10,0,4,3,"[129, 51, 63, 5]","[51, 63, 5]"
In-Distribution,10,exact_guidance_u,11,0,6,5,"[129, 51, 80, 63, 5, 37]","[51, 80, 63, 5, 37]"
In-Distribution,10,exact_guidance_u,12,0,6,5,"[129, 51, 80, 63, 5, 37]","[51, 80, 63, 5, 37]"
In-Distribution,10,exact_guidance_u,13,0,6,5,"[129, 51, 80, 63, 5, 37]","[51, 80, 63, 5, 37]"
In-Distribution,10,exact_guidance_u,14,0,6,5,"[129, 51, 80, 63, 5, 37]","[51, 80, 63, 5, 37]"
In-Distribution,10,exact_guidance_u,15,0,6,5,"[129, 51, 80, 63, 5, 37]","[51, 80, 63, 5, 37]"
In-Distribution,10,exact_guidance_u,16,0,7,6,"[129, 51, 101, 80, 63, 5, 37]","[51, 101, 80, 63, 5, 37]"
In-Distribution,10,exact_guidance_u,17,0,7,6,"[129, 51, 101, 80, 63, 5, 37]","[51, 101, 80, 63, 5, 37]"
