,trial,method_key,method,beta,target,runtime,reward,logprob,edit_distance,normalized_edit_distance
0,0,unguided,Unguided,10,Linear,1.486046351492405,0.1533549668449284,-3918.039794921875,240.0,0.9375
1,1,unguided,Unguided,10,Linear,1.159915812313557,0.1521615490248429,-2384.391357421875,241.0,0.94140625
2,2,unguided,Unguided,10,Linear,1.136469893157482,0.1521615490248429,-2285.281982421875,241.0,0.94140625
3,3,unguided,Unguided,10,Linear,1.11851167678833,0.2338384001140847,-618.8676147460938,186.0,0.953846153846154
4,4,unguided,Unguided,10,Linear,1.1696158722043035,0.1533549668449284,-3289.95166015625,240.0,0.9375
5,5,unguided,Unguided,10,Linear,1.150998167693615,0.1498025028641816,-1722.083740234375,243.0,0.94921875
6,6,unguided,Unguided,10,Linear,1.136854112148285,0.1498025028641816,-1701.7762451171875,243.0,0.94921875
7,7,unguided,Unguided,10,Linear,1.1505670696496964,0.1521615490248429,-2763.836181640625,241.0,0.94140625
8,8,unguided,Unguided,10,Linear,1.170790746808052,0.1533549668449284,-2519.390869140625,240.0,0.9375
9,9,unguided,Unguided,10,Linear,1.154061280190945,0.1545577447569848,-3594.484375,239.0,0.93359375
10,10,unguided,Unguided,10,Linear,1.1199475824832916,0.1938588426432952,-795.6810302734375,210.0,0.9333333333333332
11,11,unguided,Unguided,10,Linear,1.136173978447914,0.2733847869961415,-480.82611083984375,166.0,0.9540229885057472
12,12,unguided,Unguided,10,Linear,1.1596468910574913,0.1509774184559146,-2796.295166015625,242.0,0.9453125
13,13,unguided,Unguided,10,Linear,1.1399433985352516,0.1509774184559146,-2129.038818359375,242.0,0.9453125
14,14,unguided,Unguided,10,Linear,1.1283028572797775,0.1509774184559146,-1380.1904296875,242.0,0.9453125
15,15,unguided,Unguided,10,Linear,1.1262447983026505,0.1486367305381225,-1247.4991455078125,244.0,0.953125
16,16,unguided,Unguided,10,Linear,1.1480298712849617,0.1533549668449284,-2538.651611328125,240.0,0.9375
17,17,unguided,Unguided,10,Linear,1.1867138668894768,0.1557699561731232,-2923.12744140625,238.0,0.9296875
18,18,unguided,Unguided,10,Linear,1.1217772290110588,0.2528395958047464,-583.2597045898438,176.0,0.946236559139785
19,19,unguided,Unguided,10,Linear,1.116206206381321,0.1498025028641816,-1611.388427734375,243.0,0.94921875
20,0,best_of_k,Rejection Sampling,10,Linear,11.5649766176939,0.1557699561731232,-3403.090087890625,238.0,0.9296875
21,1,best_of_k,Rejection Sampling,10,Linear,11.402761921286585,0.1878944330870016,-798.497314453125,214.0,0.9469026548672568
22,2,best_of_k,Rejection Sampling,10,Linear,11.52038797736168,0.3026093739753879,-381.78228759765625,153.0,0.9622641509433962
23,3,best_of_k,Rejection Sampling,10,Linear,11.443282030522823,0.2179613555557027,-666.7406616210938,195.0,0.9558823529411764
24,4,best_of_k,Rejection Sampling,10,Linear,11.521214351058006,0.1619751257973035,-918.6802978515624,233.0,0.9433198380566802
25,5,best_of_k,Rejection Sampling,10,Linear,11.52154815196991,0.1557699561731232,-2984.020263671875,238.0,0.9296875
26,6,best_of_k,Rejection Sampling,10,Linear,11.503305345773695,0.1557699561731232,-2748.871337890625,238.0,0.9296875
27,7,best_of_k,Rejection Sampling,10,Linear,11.515455447137356,0.1569916750812332,-2518.550048828125,237.0,0.92578125
28,8,best_of_k,Rejection Sampling,10,Linear,11.538957357406616,0.1569916750812332,-3206.038818359375,237.0,0.92578125
29,9,best_of_k,Rejection Sampling,10,Linear,11.522394075989723,0.1569916750812332,-3278.92529296875,237.0,0.92578125
30,10,best_of_k,Rejection Sampling,10,Linear,11.502128891646862,0.2733847869961415,-487.0053405761719,166.0,0.9540229885057472
31,11,best_of_k,Rejection Sampling,10,Linear,11.423855692148209,0.1557699561731232,-1007.3883666992188,238.0,0.9296875
32,12,best_of_k,Rejection Sampling,10,Linear,11.467776224017143,0.160714625368044,-993.22998046875,234.0,0.9212598425196852
33,13,best_of_k,Rejection Sampling,10,Linear,11.502233192324638,0.340232864574049,-267.5362854003906,138.0,0.971830985915493
