trial,method_key,method,beta,target,runtime,reward,logprob,edit_distance,normalized_edit_distance
0,unguided,Unguided,5,In-Distribution,1.7473787770140916,0.514755885208607,-632.5283203125,85.0,0.33203125
1,unguided,Unguided,5,In-Distribution,1.1647593399975449,0.4950358969261986,-744.5224609375,90.0,0.3515625
2,unguided,Unguided,5,In-Distribution,1.1685640029609203,0.4650431881340563,-905.38427734375,98.0,0.3828125
3,unguided,Unguided,5,In-Distribution,1.1346191910561174,0.514755885208607,-640.2149658203125,85.0,0.33203125
4,unguided,Unguided,5,In-Distribution,1.151722450973466,0.5028315779709409,-719.2871704101562,88.0,0.34375
5,unguided,Unguided,5,In-Distribution,1.134152750018984,0.47607136953123724,-808.882080078125,95.0,0.37109375
6,unguided,Unguided,5,In-Distribution,1.1819492389913648,0.4911834970129232,-790.4749145507812,91.0,0.35546875
7,unguided,Unguided,5,In-Distribution,1.1704642300028354,0.5228621108821536,-780.8814697265625,83.0,0.32421875
8,unguided,Unguided,5,In-Distribution,1.150357165839523,0.5067753349154387,-707.029296875,87.0,0.33984375
9,unguided,Unguided,5,In-Distribution,1.1263301221188158,0.5067753349154387,-801.7675170898438,87.0,0.33984375
10,unguided,Unguided,5,In-Distribution,1.1287561058998108,0.4950358969261986,-702.1293334960938,90.0,0.3515625
11,unguided,Unguided,5,In-Distribution,1.1661240400280803,0.4650431881340563,-900.0988159179688,98.0,0.3828125
12,unguided,Unguided,5,In-Distribution,1.1713115158490837,0.49891851158647194,-718.00439453125,89.0,0.34765625
13,unguided,Unguided,5,In-Distribution,1.1069722261745483,0.5228621108821536,-565.3536987304688,83.0,0.32421875
14,unguided,Unguided,5,In-Distribution,1.1461397889070213,0.4723665527410147,-847.572998046875,96.0,0.375
15,unguided,Unguided,5,In-Distribution,1.1135654249228537,0.5310959910353452,-639.5687866210938,81.0,0.31640625
16,unguided,Unguided,5,In-Distribution,1.1838183670770377,0.4686905670637882,-838.792724609375,97.0,0.37890625
17,unguided,Unguided,5,In-Distribution,1.1680978410877287,0.44374731008107987,-960.351806640625,104.0,0.40625
18,unguided,Unguided,5,In-Distribution,1.1249088940676302,0.4911834970129232,-759.6739501953125,91.0,0.35546875
19,unguided,Unguided,5,In-Distribution,1.0955443792045116,0.5187931656538893,-599.7288818359375,84.0,0.328125
0,best_of_k,Best-of-K,5,In-Distribution,11.32253556093201,0.5394595359337269,-595.1324462890625,79.0,0.30859375
1,best_of_k,Best-of-K,5,In-Distribution,11.278912577079609,0.5352614285189903,-615.0404052734375,80.0,0.3125
2,best_of_k,Best-of-K,5,In-Distribution,16.08538645785302,0.5228621108821536,-547.71337890625,83.0,0.32421875
3,best_of_k,Best-of-K,5,In-Distribution,13.574833370978013,0.5310959910353452,-535.8712158203125,81.0,0.31640625
4,best_of_k,Best-of-K,5,In-Distribution,11.204919131938368,0.5228621108821536,-585.1407470703125,83.0,0.32421875
5,best_of_k,Best-of-K,5,In-Distribution,13.044917645864189,0.5394595359337269,-564.9185791015625,79.0,0.30859375
6,best_of_k,Best-of-K,5,In-Distribution,12.694168940884992,0.514755885208607,-722.9041748046875,85.0,0.33203125
7,best_of_k,Best-of-K,5,In-Distribution,12.253196625970304,0.5107500231290106,-658.729736328125,86.0,0.3359375
8,best_of_k,Best-of-K,5,In-Distribution,11.752174474066123,0.5269629692433709,-624.8961181640625,82.0,0.3203125
9,best_of_k,Best-of-K,5,In-Distribution,14.216212454019114,0.5394595359337269,-623.5028686523438,79.0,0.30859375
10,best_of_k,Best-of-K,5,In-Distribution,16.189129186794162,0.5352614285189903,-652.571044921875,80.0,0.3125
11,best_of_k,Best-of-K,5,In-Distribution,11.071448624832556,0.5269629692433709,-828.3013916015625,82.0,0.3203125
